,emoji,count,polarity,subjectivity,position
0,😂,5137514,0.12668440950005758,0.33008378074170847,0.8131575844166481
1,😭,2024950,0.13178940997598154,0.3596753382043271,0.819217822802236
2,🔥,1534100,0.23163842057630157,0.30044821922306736,0.6854075655468655
3,😍,1421397,0.3727836642214378,0.3941122887418119,0.7686117233699845
4,❤️,1233906,0.394582513581254,0.39021732336155696,0.7611145697752312
5,💕,684220,0.39550552476842327,0.4049787635877361,0.7971291465508554
6,👏,573826,0.34477334718439373,0.3603763661990522,0.750661860391156
7,🤣,532873,0.10466940881969203,0.3332747059469078,0.7921956703971823
8,🙏,512469,0.2945380628352847,0.305322260895273,0.8058042176821087
9,✨,510775,0.35525831872246844,0.34155731479568213,0.7326912737099722
10,😩,441257,0.10704326307204001,0.33721939035936216,0.8374532724098045
11,😊,402597,0.38288340113567776,0.3731149552576732,0.8111441692126145
12,👉,402066,0.21017203166826795,0.2601313871997186,0.6081943221417281
13,💖,397533,0.3847407425859477,0.39337381500822116,0.7649328281653581
14,🚨,397215,0.18194661490220324,0.28870007103501016,0.30620880322708366
15,♀️,388941,0.06519563106050007,0.3622505952962033,0.8520179135950574
16,😘,380180,0.42191619243510325,0.40746438534663365,0.7896636168742603
17,🙌,378059,0.37383503876496516,0.36491834582289806,0.7188167205899579
18,💜,362947,0.38915393801850817,0.35851386444513994,0.7695694616228489
19,💯,357081,0.18850000157640426,0.3232769038359549,0.8130994776498403
20,💀,356684,0.04578039167079822,0.31617676642644743,0.8532575934002681
21,🎉,348664,0.5008890062750241,0.4629822032872167,0.6485874079656032
22,💙,327558,0.3921396399861113,0.3415263671985372,0.7758693003513052
23,🤔,301739,0.1283880591179285,0.2818400927722721,0.8122613520214219
24,👀,293327,0.20868846941232236,0.2569896881365719,0.7373070346300029
25,👍,283166,0.38061907929613514,0.3799246557788996,0.7779607569252571
26,💗,279085,0.3964210678223596,0.41022777011930056,0.7817329388067262
27,♂️,277529,0.06936059790518383,0.3043275015469327,0.8493690920557134
28,🤷,276298,0.07360523987377157,0.349947274686759,0.8175040944811137
29,✅,270472,0.2466733976033141,0.20304915190584022,0.6106270428811581
30,😁,252588,0.3466129673690334,0.33678376789451003,0.8241663254207332
31,🤦,252353,-0.0053010440229686005,0.34726553574402014,0.7910231215975089
32,💪,247568,0.2851382231116795,0.2958839824425015,0.785870708825413
33,💞,242786,0.38030020995739827,0.39697702732240686,0.7710030704077966
34,🙄,239641,0.01499561112479889,0.355350096083122,0.840598517071315
35,💥,239024,0.2609612407075012,0.3687208754520455,0.5234077114757166
36,👌,237690,0.3360685803915231,0.36496486681314805,0.7961053119813045
37,👇,229351,0.2085930822866412,0.29774702147880727,0.7223238657099537
38,💓,228659,0.4167764954781518,0.4316068033034039,0.7822429433734924
39,💛,222591,0.38723499773081904,0.3597395847305548,0.7767710641846451
40,‼️,220501,0.16582132733637234,0.3243301388620636,0.6212806681261357
41,🏆,207061,0.41629809313510635,0.30863449882606686,0.6128985497561875
42,😎,204004,0.31035674249290285,0.32671980130002665,0.7857817127165295
43,🇺🇸,190514,0.2738517996682687,0.32951263975075457,0.576110850058422
44,💚,185705,0.366963846082409,0.3438878178947959,0.7586487790905059
45,🌟,182329,0.3258979255371048,0.3495035144754082,0.5739230401363676
46,😉,175051,0.285330556722706,0.3418360332383711,0.8418903489079494
47,💘,174213,0.3494288316284387,0.3820954554151888,0.7735328126546388
48,😢,167697,0.090889185406241,0.3369798029038226,0.7898548895279729
49,🌹,163332,0.43213149232059694,0.38247597379297904,0.722754876493764
50,😱,159338,0.10519233206301928,0.3136169647314153,0.7266354050461286
51,😳,154934,0.14093278789996683,0.3270936027647996,0.7210816343847729
