,emoji,count
11,😂,5137514
31,😭,2024950
26,🔥,1534100
39,😍,1421397
13,❤️,1233906
38,💕,684220
18,👏,573826
54,🤣,532873
27,🙏,512469
69,✨,510775
92,😩,441257
129,😊,402597
24,👉,402066
12,💖,397533
128,🚨,397215
17,♀️,388941
53,😘,380180
49,🙌,378059
150,💜,362947
14,💯,357081
5,💀,356684
101,🎉,348664
122,💙,327558
34,🤔,301739
76,👀,293327
115,👍,283166
52,💗,279085
137,♂️,277529
138,🤷,276298
64,✅,270472
116,😁,252588
124,🤦,252353
9,💪,247568
28,💞,242786
117,🙄,239641
153,💥,239024
95,👌,237690
4,👇,229351
51,💓,228659
68,💛,222591
67,‼️,220501
151,🏆,207061
94,😎,204004
84,🇺🇸,190514
70,💚,185705
35,🌟,182329
45,😉,175051
55,💘,174213
253,😢,167697
36,🌹,163332
139,😱,159338
288,😳,154934
200,♥️,154335
43,🎶,151100
48,🤗,150439
29,💦,148197
152,💔,145907
88,🌸,145567
41,💋,145383
222,⭐,142739
141,😅,141663
90,🖤,137836
66,⚡,136583
125,😈,131006
105,👑,126464
352,😏,119092
3,🙃,117732
186,💎,116259
423,⚽,112678
323,☺️,110392
284,💫,107176
325,❗,102659
20,💰,102275
334,😋,101302
44,😆,101248
164,👊,99111
180,😔,97018
177,😀,96058
287,✔️,94959
269,😌,94756
166,😒,94591
126,😤,93018
210,➡️,92533
237,🔴,91995
99,🌻,91968
308,🎈,91697
16,💃,91351
255,🤤,87979
0,🚀,87754
205,🎂,87703
63,😫,86992
300,🎁,86640
513,📣,84209
272,🙈,83432
81,😜,83317
217,✊,83129
167,🙂,82977
373,❄️,81736
233,💝,81595
77,😄,81540
263,⚠️,81511
181,😡,81046
47,😇,80489
259,📷,76257
156,🤘,75991
324,☀️,74957
10,🤧,72227
82,👅,72121
40,🐶,71458
1,🤪,71293
270,📸,70384
37,😻,68979
298,😴,68287
198,🎥,67353
60,🤞,66917
209,😬,64311
56,🎊,62460
135,🌈,61100
206,🌞,59577
238,🔵,59362
391,🍀,58452
118,😃,58253
431,🐾,58250
383,🌊,58090
25,🔔,56583
280,👈,56445
169,🍑,55463
162,☹️,54425
346,😪,53409
425,🌷,53204
74,🐰,52770
354,❣️,52223
314,👋,52138
457,🎵,50704
170,🏀,49831
286,⬇️,49289
214,😝,48986
165,😐,48584
192,🤩,48300
163,😕,48290
215,❌,47528
401,🎮,47263
140,💸,46947
473,🌼,46914
250,😛,46691
194,🌎,46435
358,😑,45908
97,🍃,45881
145,🎤,45264
303,😞,44967
75,💐,44803
1093,↗️,43967
57,📞,43966
578,🔗,43410
104,😚,42754
610,🌍,42209
136,🦋,42114
98,🌺,41863
365,😹,41674
271,🧡,41520
241,🤙,41403
417,☕,41402
302,💨,40890
225,🕺,40681
311,🙋,40512
23,🏃,39268
59,🚖,39209
32,💁,38889
347,🎧,38081
399,🕰️,37734
111,▶️,37627
812,↘️,37267
356,⏬,37258
93,📺,36874
236,⚪,36454
318,📹,35827
242,✈️,35565
333,🤑,35254
400,🖥️,34717
188,😣,34638
433,😥,34205
344,🐯,33797
149,🖕,33568
277,💟,33466
71,😮,33253
366,💩,33097
573,🇳🇬,32764
484,🏁,32698
307,⏰,32680
134,🇬🇧,32255
291,🌴,31929
50,💣,31793
218,🐐,31436
147,💍,31365
144,🌿,31129
332,🔞,30447
243,🐱,30345
376,🍾,30126
420,📍,30024
2,🍆,29908
411,⚫,29860
541,😲,29791
256,🤫,29762
268,🤢,29590
290,🤭,29476
539,📢,29363
477,🎯,29255
338,🚫,29195
262,➖,28806
341,🔊,28781
426,♨️,28638
